Bedrooms,Bathrooms,Location,Price
2,3,"KILIMANI, Kilimani",14000000
1,1,"Westlands Area, Westlands",6000000
3,3,Kilimani,11000000
3,3,"Parklands, Westlands",22500000
1,1,Kilimani,4000000
1,2,"WESTLAND, Rhapta Road, Westlands",15000000
4,5,"0108J, Valley Arcade Lavington, Valley Arcade",55000000
3,3,"0108J, Westlands Nairobi(COMPLETION APRIL 2025), Westlands Area, Westlands",18000000
2,2,Lavington,7000000
1,1,Lavington,5000000
3,3,"0108J, Lavington Estate Nairobi, Lavington",17000000
3,4,"Westlands Area, Westlands",22000000
2,1,"Syokimau, Mombasa Road",5900000
1,1,"Syokimau, Mombasa Road",4000000
1,1,"Syokimau, Mombasa Road",4500000
3,3,"Westlands Area, Westlands",11800000
2,2,"Westlands Area, Westlands",9000000
2,1,"Riverside, Westlands",7900000
2,2,"Westlands Area, Westlands",11000000
1,1,"Westlands Area, Westlands",5000000
1,1,"Westlands Area, Westlands",6000000
2,2,"Mpaka Road, Westlands Area, Westlands",11800000
3,,"Westlands Area, Westlands",31059000
3,1,Thika Road,17000000
1,1,Thika Road,9700000
2,2,"Westlands Road, Westlands Area, Westlands",12500000
2,2,"Muthangari Drive, Westlands Area, Westlands",16000000
2,2,"Westlands Road, Westlands Area, Westlands",12700000
2,2,"Sports Road, Westlands Area, Westlands",11000000
2,2,"Westlands Road, Westlands Area, Westlands",12600000
2,2,"Rhapta Road, Westlands Area, Westlands",11900000
3,3,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",19800000
4,4,"General Mathenge, Westlands Area, Westlands",51500000
1,1,"Westlands Road, Westlands Area, Westlands",9120000
2,2,"Riverside, Westlands",25000000
2,2,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",10500000
1,1,"0108J, Brookside Westlands(UNDER CONSTRUCTION), Brookside, Westlands",7900000
4,4,"0108J, Shanzu Road Spring Valley Nairobi, Spring Valley, Westlands",58000000
3,3,"0108J, Fourth Parklands Nairobi, Parklands, Westlands",20000000
2,2,"Mombasa Road, Mombasa Road",7500000
1,1,"Kindaruma Road, Kindaruma, KIlimani, Kilimani",4800000
1,1,"Westlands Road, Westlands Area, Westlands",7900000
0,1,"Kilimani, Kilimani",4900000
2,2,Kileleshwa,11000000
1,1,"Mahiga Mairu Road, Westlands Area, Westlands",7700000
3,3,"Riverside, Westlands",17000000
4,5,Kileleshwa,21000000
0,,"Garden City, Thika Road",2900000
2,2,"Westlands Area, Westlands",14160000
0,,"Ndwaru Road, Naivasha Road",2700000
4,5,Kileleshwa,20000000
3,3,Kileleshwa,11000000
3,4,"LAVINGTON, Lavington",22200000
2,2,"LAVINGTON, Lavington",7800000
2,2,"LAVINGTON, Lavington",8600000
4,4,"LAVINGTON, Lavington",22000000
2,1,Kileleshwa,7000000
3,4,"Kileleshwa, Kileleshwa",22000000
4,5,"KILELESHWA, Kileleshwa",22000000
0,1,"Westlands Area, Westlands",6600000
4,5,"KILELESHWA, Kileleshwa",22000000
4,5,"Kileleshwa, Kileleshwa",30000000
3,3,"WESTLANDS, Westlands Area, Westlands",16000000
3,3,"KAREN, Karen",16000000
4,5,Lavington,20000000
2,2,"KIRICHWA, Kilimani",8300000
3,3,Lavington,13000000
4,4,"Ndemi Road, Kilimani",25270000
3,4,"Garden Estate, Roysambu",24500000
2,1,Lavington,7000000
1,1,Lavington,4000000
1,1,Lavington,5000000
2,,"Westlands Area, Westlands",12532788
