Location
Athi River
Athiriver
Baba Dogo
Dagoretti
Donholm
Embakasi
Imara Daima
Isinya
Joska
"Joska, Kileleshwa"
Juja
"Juja, Ruiru"
Kahawa Wendani
Kahawa West
Kajiado
Kamulu
Karen
Kasarani
Kiambu
Kibera
Kikuyu
"Kikuyu, Kilimani"
Kileleshwa
Kilimani
"Kilimani, Upperhill"
Kinoo
Kisumu
Kitengela
Kitisuru
Komarock
Lang Ata
"Lang Ata, Ngong"
Langata
Lavington
"Lavington, Uthiru"
Loresho
Lower Kabete
Lukenya
Machakos
Madaraka
Malaa
Matasia
Mbagathi
Mlolongo
"Mlolongo, Syokimau"
Mombasa Road
Ngara
Ngong Road
Ngong
Nkoroi
Ongata Rongai
Other
Pangani
Parklands
Race Course
Racecourse
Redhill
Riara
Ridgeways
Rimpa
Riruta
"Riruta, Uthiru"
Riverside
Rongai
Rosslyn
Roysambu
"Roysambu, Ruaraka"
Ruai
Ruaka
Ruaraka
Ruiru
Runda
Runda Mumwe
Ruthimitu
Sigona
South B
South C
Spring Valley
Starehe
Syokimau
Thika
Thindigua
Umoja
Upper Hill
Upperhill
Utawala
Uthiru
Valley Arcade
Wangige
Westlands
Weteithie
Woodland
Woodley
