Bedrooms,Bathrooms,Location,Price
3,4.0,Kilimani,22500000
2,2.0,Kilimani,8000000
1,1.0,Westlands,6500000
1,1.0,Westlands,7800000
4,4.0,Westlands,22200000
1,1.0,Westlands,6400000
2,2.0,Westlands,11200000
2,2.0,Westlands,15200000
1,1.0,Westlands,8120000
2,2.0,Kilimani,12400000
4,5.0,Kileleshwa,29500000
4,4.0,Kileleshwa,22800000
1,1.0,Westlands,9600000
1,1.0,Westlands,8500000
2,2.0,Westlands,15000000
4,5.0,Kilimani,28300000
1,1.0,Kileleshwa,4200000
2,2.0,Kileleshwa,13500000
3,4.0,Westlands,25000000
3,4.0,Kilimani,23000000
3,4.0,Riverside,40300000
2,2.0,Lavington,13500000
1,1.0,Westlands,11400000
1,1.0,Lavington,6700000
3,4.0,Kileleshwa,11500000
3,3.0,Spring Valley,23200000
4,4.0,Spring Valley,29500000
2,2.0,Lavington,9000000
2,2.0,Kilimani,9000000
3,3.0,Kileleshwa,19500000
1,1.0,Lavington,7800000
2,2.0,Lavington,9800000
2,2.0,Kileleshwa,13000000
1,1.0,Kileleshwa,7500000
2,2.0,Kilimani,12000000
3,3.0,Riverside,19000000
4,5.0,Westlands,84000000
10,10.0,Kileleshwa,750000000
4,4.0,Kileleshwa,260000
0,1.0,Kileleshwa,10000000
1,1.0,Lavington,7000000
2,2.0,Westlands,12500000
2,2.0,Lavington,8800000
1,1.0,Kilimani,4800000
2,2.0,Kilimani,7800000
1,1.0,Westlands,7900000
2,2.0,Westlands,14150000
3,3.0,Westlands,15500000
5,6.0,Lavington,33000000
5,6.0,Kilimani,33000000
1,1.0,Westlands,5500000
4,4.0,Westlands,14500000
4,5.0,Lavington,42000000
3,3.0,Kilimani,20000000
4,6.0,Kileleshwa,28000000
1,1.0,Roysambu,10000000
1,1.0,Roysambu,6700000
4,3.0,Westlands,22000000
1,1.0,Lavington,5137860
2,2.0,Lavington,12381070
3,3.0,Kilimani,25000000
1,1.0,Westlands,7800000
2,2.0,Westlands,14500000
1,2.0,Kileleshwa,6000000
2,3.0,Kileleshwa,11000000
3,4.0,Kileleshwa,16500000
3,4.0,Lavington,15000000
2,3.0,Lavington,12000000
2,3.0,Lavington,11000000
1,2.0,Lavington,7000000
3,3.0,Westlands,28500000
3,3.0,Kilimani,33000000
2,2.0,Westlands,13500000
4,4.0,Westlands,76000000
0,1.0,Kileleshwa,6500000
2,2.0,Kilimani,16200000
3,2.0,Embakasi,7500000
3,2.0,Kileleshwa,27000000
4,4.0,Kileleshwa,20000000
2,1.0,Lavington,7500000
5,5.0,Kileleshwa,30000000
