Bedrooms,Bathrooms,Location,Price
3,4.0,Riverside,58000000
4,5.0,Kileleshwa,22000000
2,2.0,Kilimani,7000000
4,4.0,Kilimani,19880000
2,2.0,Westlands,11900000
4,4.0,Westlands,74000000
3,3.0,Westlands,12000000
0,1.0,Dagoretti,1900000
1,1.0,Lavington,8000000
1,1.0,Westlands,9000000
2,2.0,Kitisuru,10000000
4,4.0,Kileleshwa,23000000
1,1.0,Thika,9700000
2,2.0,Westlands,11700000
3,4.0,Spring Valley,24000000
4,5.0,Lavington,20000000
2,2.0,Kilimani,11100000
3,5.0,Kileleshwa,27000000
3,3.0,Kileleshwa,13000000
3,1.0,Riverside,27000000
3,2.0,Athiriver,7200000
0,1.0,Ngong Road,1900000
3,3.0,Kilimani,11000000
4,4.0,Parklands,40000000
2,2.0,Kilimani,7800000
2,2.0,Kilimani,9900000
1,1.0,Lavington,4000000
2,2.0,Kilimani,9000000
1,1.0,Kitisuru,4600000
2,2.0,Kilimani,12700000
3,3.0,Kilimani,14150000
2,2.0,Lavington,17000000
4,5.0,Riverside,35000000
0,1.0,Westlands,5800000
1,1.0,Westlands,9120000
3,4.0,Kileleshwa,20000000
1,1.0,Kileleshwa,6600000
2,2.0,Lavington,10890000
2,2.0,Riara,6400000
2,2.0,Kilimani,10500000
2,3.0,Lavington,13000000
1,1.0,Westlands,8000000
1,1.0,Kileleshwa,3800000
3,4.0,Kileleshwa,21500000
1,1.0,Westlands,9120000
4,5.0,Muthaiga,75000000
0,1.0,Mombasa Road,4450000
3,3.0,Lavington,17000000
0,1.0,Ngong Road,1900000
2,2.0,Westlands,15040000
2,2.0,Riverside,37000000
0,1.0,Westlands,6600000
3,2.0,Kilimani,13500000
1,1.0,Westlands,6500000
2,2.0,Kilimani,7500000
2,2.0,Kilimani,12400000
0,1.0,Ngong Road,2000000
4,,Westlands,30000000
0,1.0,Dagoretti,1900000
3,3.0,Lavington,13000000
3,3.0,Kilimani,11000000
1,2.0,Westlands,7600000
3,3.0,Kileleshwa,13000000
3,3.0,Lavington,18000000
3,5.0,Kileleshwa,23000000
3,5.0,Kileleshwa,20000000
3,4.0,Westlands,25000000
4,5.0,Kileleshwa,24600000
2,2.0,Lavington,7500000
0,1.0,Westlands,8066850
2,4.0,Riverside,25000000
2,2.0,Kileleshwa,16500000
1,4.0,Kileleshwa,4100000
3,4.0,Westlands,15000000
3,3.0,Parklands,28000000
2,2.0,Westlands,19500000
0,1.0,Kilimani,1900000
0,1.0,Kileleshwa,10000000
1,1.0,Westlands,11400000
2,2.0,Lavington,11000000
3,3.0,Lavington,16500000
2,2.0,Riverside,13500000000
1,1.0,Kilimani,5700000
3,4.0,Westlands,25000000
2,2.0,Kileleshwa,9000000
1,1.0,Westlands,5000000
4,4.0,Westlands,32000000
4,4.0,Lavington,21000000
5,5.0,Kilimani,33500000
3,3.0,Westlands,15000000
2,2.0,Kileleshwa,9000000
2,2.0,Westlands,11000000
3,3.0,Kilimani,13000000
2,2.0,Westlands,16000000
2,2.0,Westlands,16500000
3,3.0,Westlands,16000000
1,1.0,Kilimani,4000000
1,1.0,Westlands,8120000
2,2.0,Westlands,9000000
2,2.0,Kilimani,7000000
4,4.0,Kileleshwa,23500000
1,1.0,Lavington,8000000
4,5.0,Lavington,22500000
2,2.0,Westlands,11300000
3,4.0,Kilimani,22500000
1,1.0,Kileleshwa,7500000
4,4.0,Riverside,137000000
3,4.0,Westlands,22000000
4,5.0,Kileleshwa,20000000
2,2.0,Westlands,19500000
1,1.0,Kilimani,4800000
1,1.0,Westlands,6750000
2,2.0,Westlands,9000000
1,1.0,Westlands,7650000
1,1.0,Westlands,6000000
2,2.0,Riverside,24000000
3,5.0,Westlands,21250000
3,4.0,Lavington,16500000
4,4.0,Kilimani,14800000
0,1.0,Ngong Road,1900000
1,1.0,Mombasa Road,11700000
3,3.0,Kileleshwa,14500000
4,5.0,Kileleshwa,30000000
2,,Imara Daima,7500000
3,3.0,Kileleshwa,11000000
3,3.0,Kileleshwa,23500000
3,4.0,Westlands,42000000
4,4.0,Westlands,51500000
4,5.0,Kilimani,17000000
4,5.0,Kileleshwa,23000000
1,1.0,Juja,4200000
2,3.0,Riverside,25000000
3,2.0,Lavington,13800000
3,3.0,Lavington,13000000
2,2.0,Westlands,11900000
4,5.0,Kileleshwa,21000000
3,3.0,Ngara,16500000
3,2.0,Embakasi,7800000
2,2.0,Kilimani,7700000
1,2.0,Westlands,13377000
1,1.0,Westlands,5500000
5,5.0,Parklands,40000000
3,3.0,Roysambu,5200000
3,3.0,Kilimani,25000000
4,5.0,Kilimani,31000000
1,1.0,Lavington,6500000
2,3.0,Westlands,15200000
3,3.0,Parklands,23000000
1,1.0,Westlands,7700000
