iter	RMSE
399	5655180.598
400	5654450.998
401	5654119.21
402	5653876.877
403	5653170.486
404	5653078.921
405	5652538.593
406	5652450.563
407	5652365.655
408	5652197.535
409	5651355.897
410	5651181.478
411	5651057.687
412	5650881.451
413	5650727.722
414	5650556.663
415	5649756.397
416	5648977.96
417	5648742.833
418	5648179.865
419	5647418.888
420	5647113.634
421	5646808.296
422	5646191.895
423	5646030.69
424	5645315.351
425	5644731.237
426	5644648.986
427	5644539.185
428	5644249.102
429	5643739.526
430	5643639.756
431	5643542.654
432	5643446.729
433	5642980.55
434	5642722.617
435	5642049.404
436	5641907.28
437	5641769.556
438	5641355.743
439	5641069.006
440	5640757.148
441	5640514.552
442	5640108.449
443	5639689.817
444	5639094.696
445	5638960.992
446	5638856.577
447	5638273.804
448	5637639.183
449	5637306.952
450	5636675.052
451	5636586.222
452	5636491.123
453	5636197.358
454	5636091.711
455	5635690.175
456	5635465.473
457	5635184.855
458	5635060.293
459	5634517.473
460	5634003.551
461	5633636.507
462	5633418.457
463	5632993.937
464	5632839.803
465	5632727.799
466	5632202.966
467	5631989.012
468	5631782.41
469	5631442.324
470	5631083.75
471	5630908.195
472	5630783.871
473	5630438.352
474	5630161.119
475	5630060.535
476	5629473.17
477	5629103.485
478	5628959.024
479	5628858.57
480	5628764.785
481	5628261.147
482	5627748.783
483	5627244.208
484	5626854.149
485	5626672.674
486	5626157.26
487	5625959.992
488	5625868.785
489	5625642.437
490	5625537.858
491	5625132.337
492	5624828.013
493	5624755.743
494	5624608.366
495	5624301.574
496	5623855.738
497	5623707.195
498	5623472.49
499	5623387.18
500	5623004.46
501	5622903.577
502	5622728.761
503	5622635.717
504	5622555.654
505	5622444.206
506	5622181.087
507	5622124.551
508	5621793.249
509	5621483.55
510	5621397.874
511	5621276.147
512	5621056.017
513	5620843.387
514	5620746.16
515	5620497.612
516	5620424.691
517	5620192.228
518	5620134.301
519	5619763.789
520	5619306.191
521	5619040.255
522	5618859.589
523	5618633.766
524	5618590.502
525	5618348.851
526	5618062.317
527	5617988.49
528	5617781.405
529	5617605.921
530	5617422.735
531	5617340.105
532	5617272.835
533	5616884.211
534	5616634.571
535	5616569.793
536	5616203.516
537	5615922.112
538	5615538.545
539	5615403.566
540	5615274.174
541	5615096.703
542	5614723.122
543	5614553.239
544	5614504.667
545	5614085.618
546	5613779.781
547	5613685.291
548	5613593.672
549	5613206.857
550	5612993.512
551	5612900.742
552	5612870.382
553	5612811.025
554	5612670.353
555	5612507.246
556	5612350.505
557	5612171.314
558	5612131.418
559	5611799.436
560	5611752.491
561	5611435.797
562	5611131.34
563	5611055.875
564	5610813.816
565	5610635.677
566	5610438.054
567	5609864.892
568	5609705.04
569	5609639.326
570	5609334.024
571	5609239.37
572	5609161.06
573	5609097.32
574	5608966.046
575	5608646.624
576	5608383.208
577	5608255.903
578	5608067.794
579	5608011.414
580	5607802.368
581	5607745.874
582	5607617.44
583	5607495.755
584	5607273.741
585	5607094.909
586	5606845.162
587	5606662.235
588	5606350.26
589	5606284.862
590	5606130.062
591	5605832.695
592	5605747.402
593	5605587.646
594	5605446.578
595	5605241.678
596	5605103.332
597	5604785.027
598	5604666.868
599	5604525.632
600	5604481.981
601	5604380.45
602	5604136.003
603	5604001.355
604	5603946.577
605	5603654.815
606	5603444.775
607	5603083.912
608	5602995.85
609	5602879.631
610	5602773.347
611	5602672.807
612	5602378.46
613	5602332.29
614	5602271.553
615	5602163.902
616	5602045.604
617	5601998.305
618	5601874.291
619	5601764.027
620	5601714.089
621	5601655.893
622	5601472.722
623	5601302.088
624	5601178.586
625	5601016.484
626	5600904.524
627	5600787.065
628	5600714.248
629	5600688.039
630	5600402.553
631	5600350.76
632	5600282.152
633	5600169.465
634	5599886.07
635	5599691.63
636	5599584.8
637	5599487.077
638	5599368.625
639	5599268.351
640	5599212.975
641	5599191.76
642	5599034.941
643	5598879.582
644	5598783.338
645	5598741.124
646	5598640.759
647	5598591.04
648	5598289.884
649	5597867.802
650	5597780.889
651	5597702.372
652	5597428.587
653	5597322.036
654	5597158.318
655	5597098.616
656	5596906.208
657	5596830.922
658	5596673.63
659	5596525.678
660	5596263.612
661	5596137.41
662	5595878.24
663	5595759.013
664	5595714.738
665	5595616.281
666	5595598.749
667	5595551.203
668	5595250.039
669	5594964.585
670	5594905.042
671	5594632.231
672	5594454.826
673	5594358.552
674	5594289.558
675	5593835.067
676	5593730.751
677	5593682.997
678	5593663.865
679	5593636.601
680	5593596.837
681	5593489.294
682	5593327.077
683	5593237.51
684	5593185.142
685	5593011.91
686	5592794.433
687	5592651.022
688	5592453.427
689	5592402.26
690	5592371.267
691	5592019.052
692	5591834.889
693	5591740.871
694	5591680.834
695	5591633.736
696	5591600.076
697	5591530
698	5591448.77
699	5591432.274
700	5591316.689
701	5591278.928
702	5591098.288
703	5591078.272
704	5590910.159
705	5590766.686
706	5590715.589
707	5590678.854
708	5590567.393
709	5590541.954
710	5590448.24
711	5590363.382
712	5590287.824
713	5590244.046
714	5590214.936
715	5590090.835
716	5589846.632
717	5589836.446
718	5589786.853
719	5589571.157
720	5589422.135
721	5589234.827
722	5589205.44
723	5589159.24
724	5588835.876
725	5588761.398
